house_id,file_name,detected_timestamp_column,detected_aggregate_power_column,original_rows,original_columns,invalid_timestamps,invalid_power_values_before_cleaning,duplicated_timestamps_removed,detected_step_seconds,target_frequency,physically_invalid_low_values,physically_invalid_high_values,rows_after_resampling,missing_before_interp,interpolated_points,large_gap_points,outlier_corrected_points,valid_points_final,missing_points_final,min_hmm_run_length_steps,points_valid_for_hmm,points_excluded_for_hmm_short_runs,num_hmm_runs,median_hmm_run_length_steps,max_hmm_run_length_steps,output_file
House_2,House_2.csv,Time,Aggregate,5733526,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1546742,8.0,8s,0,0,6668083,2481299,817677,1663622,579695,5004461,1663622,30,4982174,22287,863,1342.0,102594,output_preprocessed\House_2_clean.csv.gz
House_20,House_20.csv,Time,Aggregate,5168605,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1215653,8.0,8s,0,2,4971471,1018521,704223,314298,341149,4657173,314298,30,4640038,17135,502,3797.5,101587,output_preprocessed\House_20_clean.csv.gz
House_21,House_21.csv,Time,Aggregate,5383993,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1322848,8.0,8s,0,6,5290023,1228884,715881,513003,417199,4777020,513003,30,4758330,18690,643,1240.0,141857,output_preprocessed\House_21_clean.csv.gz
House_3,House_3.csv,Time,Aggregate,6994594,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,2029480,8.0,8s,0,690,6638210,1673786,892532,781254,490745,5856956,781254,30,5849199,7757,877,1549.0,141856,output_preprocessed\House_3_clean.csv.gz
House_4,House_4.csv,Time,Aggregate,6760511,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1847349,8.0,8s,0,4,6847038,1933880,968647,965233,440052,5881805,965233,30,5861014,20791,1146,1103.5,83247,output_preprocessed\House_4_clean.csv.gz
House_5,House_5.csv,Time,Aggregate,7430755,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1974255,8.0,8s,0,1,7001947,1545448,846815,698633,405722,6303314,698633,30,6263264,40050,3662,385.0,33636,output_preprocessed\House_5_clean.csv.gz
House_6,House_6.csv,Time,Aggregate,6241971,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1787529,8.0,8s,0,6,6236095,1781659,792503,989156,400453,5246939,989156,30,5229993,16946,1112,544.5,123574,output_preprocessed\House_6_clean.csv.gz
House_7,House_7.csv,Time,Aggregate,6756034,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1937305,8.0,8s,0,3,6622273,1803547,945191,858356,569145,5763917,858356,30,5743405,20512,802,1408.0,215385,output_preprocessed\House_7_clean.csv.gz
House_8,House_8.csv,Time,Aggregate,6118469,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1706171,8.0,8s,0,0,5994622,1582324,939790,642534,581537,5352088,642534,30,5331084,21004,810,1217.0,123404,output_preprocessed\House_8_clean.csv.gz
House_9,House_9.csv,Time,Aggregate,6169525,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1645848,8.0,8s,0,0,6135049,1611372,642862,968510,436621,5166539,968510,30,5146139,20400,678,1100.0,238802,output_preprocessed\House_9_clean.csv.gz
